date,platform,total_comments,insecurity_count,insecurity_ratio,negative_count,negative_ratio,失业担忧_count,替代焦虑_count,技能过时_count,职业焦虑_count,未来担忧_count,avg_likes,unique_users
2025-08-07,bili,12,0,0.0,0,0.0,0,0,0,0,0,8.416666666666666,11.0
2025-08-08,bili,9,0,0.0,0,0.0,0,0,0,0,0,10.0,9.0
2025-08-08,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,2.0,1.0
2025-08-09,bili,7,0,0.0,0,0.0,0,0,0,0,0,3.4285714285714284,6.0
2025-08-10,bili,3,0,0.0,0,0.0,0,0,0,0,0,4.666666666666667,3.0
2025-08-11,bili,10,0,0.0,0,0.0,0,0,0,0,0,7.3,10.0
2025-08-11,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-08-12,bili,3,0,0.0,0,0.0,0,0,0,0,0,0.3333333333333333,3.0
2025-08-12,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,3.0,1.0
2025-08-13,bili,9,0,0.0,0,0.0,0,0,0,0,0,0.3333333333333333,5.0
2025-08-14,bili,7,0,0.0,0,0.0,0,0,0,0,0,9.142857142857142,6.0
2025-08-15,bili,6,0,0.0,0,0.0,0,0,0,0,0,2.6666666666666665,6.0
2025-08-16,bili,3,0,0.0,0,0.0,0,0,0,0,0,3.0,3.0
2025-08-17,bili,3,0,0.0,0,0.0,0,0,0,0,0,0.3333333333333333,3.0
2025-08-18,bili,21,0,0.0,1,0.047619047619047616,0,0,0,0,0,142.52380952380952,18.0
2025-08-18,zhihu,5,0,0.0,0,0.0,0,0,0,0,0,1.4,3.0
2025-08-19,bili,22,1,0.045454545454545456,0,0.0,0,0,0,1,0,100.36363636363636,22.0
2025-08-20,bili,19,0,0.0,0,0.0,0,0,0,0,0,10.473684210526315,14.0
2025-08-21,bili,14,0,0.0,0,0.0,0,0,0,0,0,7.428571428571429,10.0
2025-08-22,bili,12,0,0.0,1,0.08333333333333333,0,0,0,0,0,12.75,10.0
2025-08-23,bili,7,0,0.0,0,0.0,0,0,0,0,0,2.4285714285714284,7.0
2025-08-23,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-08-24,bili,11,0,0.0,0,0.0,0,0,0,0,0,8.909090909090908,9.0
2025-08-24,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,2.0,1.0
2025-08-25,bili,6,0,0.0,0,0.0,0,0,0,0,0,1.0,6.0
2025-08-25,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2025-08-26,bili,13,1,0.07692307692307693,0,0.0,0,1,0,0,0,15.76923076923077,11.0
2025-08-27,bili,54,0,0.0,0,0.0,0,0,0,0,0,99.88888888888889,50.0
2025-08-27,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-08-28,bili,111,0,0.0,3,0.02702702702702703,0,0,0,0,0,113.58558558558559,101.0
2025-08-28,zhihu,3,0,0.0,0,0.0,0,0,0,0,0,0.0,2.0
2025-08-29,bili,20,0,0.0,0,0.0,0,0,0,0,0,2.45,17.0
2025-08-30,bili,15,0,0.0,0,0.0,0,0,0,0,0,29.466666666666665,13.0
2025-08-30,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2025-08-31,bili,17,0,0.0,0,0.0,0,0,0,0,0,3.5294117647058822,15.0
2025-09-01,bili,10,0,0.0,0,0.0,0,0,0,0,0,8.5,10.0
2025-09-01,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-09-02,bili,7,0,0.0,0,0.0,0,0,0,0,0,0.0,7.0
2025-09-02,zhihu,6,1,0.16666666666666666,0,0.0,0,1,0,0,0,0.16666666666666666,6.0
2025-09-03,bili,138,0,0.0,3,0.021739130434782608,0,0,0,0,0,2.420289855072464,129.0
2025-09-04,bili,52,0,0.0,1,0.019230769230769232,0,0,0,0,0,5.961538461538462,51.0
2025-09-04,zhihu,2,0,0.0,0,0.0,0,0,0,0,0,0.0,2.0
2025-09-05,bili,13,0,0.0,0,0.0,0,0,0,0,0,27.153846153846153,13.0
2025-09-05,zhihu,32,1,0.03125,0,0.0,0,0,0,0,1,4.21875,26.0
2025-09-06,bili,24,0,0.0,0,0.0,0,0,0,0,0,0.625,21.0
2025-09-06,zhihu,4,0,0.0,0,0.0,0,0,0,0,0,1.0,3.0
2025-09-07,bili,21,0,0.0,0,0.0,0,0,0,0,0,0.9047619047619048,21.0
2025-09-07,zhihu,23,0,0.0,1,0.043478260869565216,0,0,0,0,0,0.43478260869565216,5.0
2025-09-08,bili,7,0,0.0,0,0.0,0,0,0,0,0,1.7142857142857142,7.0
2025-09-08,zhihu,5,0,0.0,0,0.0,0,0,0,0,0,10.4,5.0
2025-09-09,bili,8,0,0.0,0,0.0,0,0,0,0,0,1.125,8.0
2025-09-09,zhihu,6,1,0.16666666666666666,0,0.0,1,0,0,0,0,4.166666666666667,6.0
2025-09-10,bili,7,0,0.0,0,0.0,0,0,0,0,0,0.2857142857142857,7.0
2025-09-10,zhihu,1,0,0.0,0,0.0,0,0,0,0,0,8.0,1.0
2025-09-11,bili,9,0,0.0,0,0.0,0,0,0,0,0,1.2222222222222223,9.0
2025-09-11,zhihu,15,0,0.0,0,0.0,0,0,0,0,0,3.6666666666666665,9.0
2025-09-12,bili,5,0,0.0,0,0.0,0,0,0,0,0,1.8,5.0
2025-09-12,zhihu,3,0,0.0,0,0.0,0,0,0,0,0,1.0,3.0
2025-09-13,bili,9,0,0.0,0,0.0,0,0,0,0,0,0.2222222222222222,9.0
2025-09-13,zhihu,7,0,0.0,0,0.0,0,0,0,0,0,1.1428571428571428,6.0
2025-09-14,bili,20,0,0.0,2,0.1,0,0,0,0,0,215.95,19.0
2025-09-14,zhihu,15,0,0.0,0,0.0,0,0,0,0,0,26.733333333333334,12.0
2025-09-15,bili,55,0,0.0,0,0.0,0,0,0,0,0,499.6,52.0
2025-09-15,zhihu,34,1,0.029411764705882353,1,0.029411764705882353,0,1,0,0,0,6.0,13.0
2025-09-16,bili,18,0,0.0,0,0.0,0,0,0,0,0,1275.888888888889,17.0
2025-09-16,zhihu,23,0,0.0,0,0.0,0,0,0,0,0,5.260869565217392,7.0
2025-09-17,bili,11,0,0.0,0,0.0,0,0,0,0,0,11.0,10.0
2025-09-17,zhihu,4,0,0.0,0,0.0,0,0,0,0,0,14.5,3.0
2025-09-18,bili,7,0,0.0,0,0.0,0,0,0,0,0,1.5714285714285714,7.0
2025-09-18,zhihu,9,0,0.0,0,0.0,0,0,0,0,0,1.1111111111111112,9.0
2025-09-19,bili,36,0,0.0,1,0.027777777777777776,0,0,0,0,0,133.58333333333334,34.0
2025-09-19,zhihu,5,0,0.0,0,0.0,0,0,0,0,0,0.8,5.0
2025-09-20,bili,141,1,0.0070921985815602835,4,0.028368794326241134,0,0,1,0,0,349.4609929078014,130.0
2025-09-20,zhihu,4,0,0.0,0,0.0,0,0,0,0,0,2.5,3.0
2025-09-21,bili,181,0,0.0,1,0.0055248618784530384,0,0,0,0,0,42.80110497237569,169.0
2025-09-21,zhihu,3,0,0.0,0,0.0,0,0,0,0,0,2.3333333333333335,3.0
2025-09-22,bili,97,0,0.0,1,0.010309278350515464,0,0,0,0,0,6.711340206185567,92.0
2025-09-22,zhihu,6,0,0.0,0,0.0,0,0,0,0,0,2.0,6.0
2025-09-23,bili,52,0,0.0,0,0.0,0,0,0,0,0,22.807692307692307,47.0
2025-09-23,zhihu,8,0,0.0,0,0.0,0,0,0,0,0,6.0,7.0
2025-09-24,bili,88,0,0.0,2,0.022727272727272728,0,0,0,0,0,8.159090909090908,77.0
2025-09-24,zhihu,32,1,0.03125,0,0.0,0,0,0,1,0,3.0,26.0
2025-09-25,bili,77,0,0.0,1,0.012987012987012988,0,0,0,0,0,48.33766233766234,73.0
2025-09-25,zhihu,55,1,0.01818181818181818,4,0.07272727272727272,0,0,1,0,0,1.7272727272727273,41.0
2025-09-26,bili,45,0,0.0,0,0.0,0,0,0,0,0,8.666666666666666,41.0
